Position,Name,Team,CompositeAvgRank,PositionTier,SourceCount
QB,Josh Allen,BUF,1,1,7
QB,Drake Maye,NE,2.86,2,7
QB,Jayden Daniels,WAS,3.57,2,7
QB,Joe Burrow,CIN,4.62,2,8
QB,Lamar Jackson,BAL,4.88,2,8
QB,Jalen Hurts,PHI,6.12,2,8
QB,Trevor Lawrence,JAX,8.62,3,8
QB,Caleb Williams,CHI,9,3,7
QB,Dak Prescott,DAL,9.5,3,8
QB,Justin Herbert,LAC,9.75,3,8
QB,Jaxson Dart,NYG,10.5,3,8
QB,Brock Purdy,SF,11.38,3,8
QB,Bo Nix,DEN,12,3,8
QB,Patrick Mahomes II,KC,13.71,3,7
QB,Matthew Stafford,LAR,14.25,4,8
QB,Kyler Murray,MIN,14.88,4,8
QB,Jared Goff,DET,17.38,5,8
QB,Baker Mayfield,TB,18.75,5,8
QB,Tyler Shough,NO,19.38,5,8
QB,Jordan Love,GB,19.88,5,8
QB,Malik Willis,MIA,21.38,5,8
QB,C.J. Stroud,HOU,22.57,5,7
QB,Daniel Jones,IND,22.62,5,8
QB,Sam Darnold,SEA,23.62,5,8
QB,Cam Ward,TEN,24.5,6,8
QB,Bryce Young,CAR,25.62,6,8
QB,Jacoby Brissett,ARI,27.88,7,8
QB,Geno Smith,NYJ,28,7,8
QB,Aaron Rodgers,PIT,28.25,7,8
QB,Fernando Mendoza,LV,29.33,7,6
QB,Tua Tagovailoa,ATL,31.43,8,7
QB,Deshaun Watson,CLE,32.33,8,6
QB,Michael Penix Jr.,ATL,33,8,5
QB,Shedeur Sanders,CLE,33,8,5
QB,Kirk Cousins,LV,33.4,8,5
QB,J.J. McCarthy,MIN,36.8,9,5
QB,Carson Beck,ARI,37.67,9,3
QB,Mac Jones,SF,38,9,4
QB,Justin Fields,KC,38.4,9,5
QB,Joe Flacco,CIN,41,10,3
RB,Jahmyr Gibbs,DET,1.43,1,7
RB,Bijan Robinson,ATL,1.57,1,7
RB,Christian McCaffrey,SF,3,1,7
RB,Jonathan Taylor,IND,4,1,7
RB,James Cook III,BUF,5.57,2,7
RB,Ashton Jeanty,LV,6.86,2,7
RB,De'Von Achane,MIA,8,2,7
RB,Saquon Barkley,PHI,9.14,2,7
RB,Derrick Henry,BAL,9.88,2,8
RB,Omarion Hampton,LAC,10.29,2,7
RB,Jeremiyah Love,ARI,10.71,2,7
